date,label,predict,pos_quantile,pos
2020-03-24,0.42785717691821323,0.31513438,0,0.7577014394782273
2020-03-25,1.6852045472656976,0.14768732,0,-0.07548425404238654
2020-03-26,-0.8197529695183857,0.31513447,1,0.7557173504666235
2020-03-27,0.9530092790920236,0.31513447,1,0.7510532075165433
2020-03-30,-0.35343680805526223,0.31513438,0,0.7464203915813293
2020-03-31,-1.1069162418630552,0.31513438,0,0.7418195157314863
2020-04-01,0.7010539062746282,0.31513438,0,0.7372504117613026
2020-04-02,-0.31711382857385423,0.31513438,0,0.732713130648434
2020-04-03,1.8553942345140249,0.31513438,0,0.7282076953497848
2020-04-06,0.011931495294235317,0.31513438,0,0.7237341031637089
2020-04-07,0.932262519479103,0.13315305,0,-0.24802079608200064
2020-04-08,0.41436258289450423,0.31513438,0,0.7228716879608322
2020-04-09,0.02475073495016818,0.31513438,0,0.7184446987864385
2020-04-10,-0.2502479675846257,-0.015557371,0,-0.8396270879668155
2020-04-13,0.8469691717012913,0.31513438,0,0.7192947721497679
2020-04-14,-0.597065769577133,0.15569574,0,-0.12296000991405469
2020-04-15,0.18505496435760374,0.31513438,0,0.7179227781526549
2020-04-16,0.7544241744037219,0.19896328,0,0.14583921477621173
2020-04-17,-0.5002893928345389,0.31513438,0,0.7151184350334263
2020-04-20,-0.8583479343887596,0.31513447,1,0.710770340165379
2020-04-21,0.6740992141470664,0.1989634,0,0.1260480006502835
2020-04-22,0.00450180059481714,0.18263727,0,0.019044230148072064
2020-04-23,0.4179011499373432,0.31513438,0,0.7104308076869671
2020-04-24,0.43518867756463775,0.31513438,0,0.7061277889417218
2020-04-27,-0.1530059560142764,0.31513438,0,0.7018552335583182
2020-04-28,0.7783799563864835,0.14772102,0,-0.23617521728713842
2020-04-29,-0.2882131910315754,0.31513447,1,0.7012004944539617
2020-04-30,-0.856297446008968,0.31513438,0,0.6969698069080761
2020-05-01,0.14082209748273597,-0.013734303,0,-0.8672737898948513
2020-05-04,0.2843210504941998,-0.015540659,0,-0.8653116022535956
2020-05-05,-0.21238193645384287,0.31513438,0,0.7036453875280484
2020-05-06,0.36438163392878203,-0.024518974,-1,-0.8771696178885552
2020-05-07,0.5252680528109912,0.31513447,1,0.7047184731428702
2020-05-08,-0.00574232477505868,-0.012997109,0,-0.8563587718354544
2020-05-11,-0.6738353566788514,-0.01805912,-1,-0.8601242689947756
2020-05-12,-0.5629855274931732,-0.024353124,-1,-0.8656286297349146
2020-05-13,0.388008759191634,0.19896355,0,0.14577945498277362
2020-05-14,0.13619750177945655,-0.012659509,0,-0.8425565426196662
2020-05-15,1.0215069893852435,-0.012690332,0,-0.8377601037116461
2020-05-18,-0.366915832793922,0.31513438,0,0.7277739718065745
2020-05-19,0.5408926412396506,0.31513438,0,0.723430763991196
2020-05-20,-0.28516052032105754,0.31513438,0,0.7191163424346908
2020-05-21,0.06406089556198523,0.19896328,0,0.14140611648172668
2020-05-22,-0.01765795435957812,-0.017694335,-1,-0.8536216635284547
2020-05-25,0.40735488948018156,-0.020221695,-1,-0.8532139166505099
2020-05-26,0.48957947542714303,0.31513438,0,0.7263521737244251
2020-05-27,-0.11259761842685843,0.315134,0,0.7220358248375626
2020-05-28,0.13639836315716344,0.31513447,1,0.717750518617838
2020-05-29,0.09658572492733475,-0.015586078,0,-0.8490016351565399
2020-06-01,0.2577830785530278,0.31513447,1,0.7185691204191649
2020-06-02,0.45306678489515445,0.31513438,0,0.7143116241837024
2020-06-03,-0.18433171706933837,0.31513438,0,0.7100825828655591
2020-06-04,0.91328944430963,0.31513438,0,0.7058816777283848
2020-06-05,0.3767743154116454,0.31513438,0,0.7017088587088118
2020-06-08,-0.38263744901422686,0.31513438,0,0.6975640621129304
2020-06-09,-0.28170935667927105,-0.01419856,0,-0.8592002649255647
2020-06-10,-2.2871806863877318,0.31513438,0,0.6988380665804006
2020-06-11,0.46169589010190637,0.31513438,0,0.694718923063053
2020-06-12,0.2811912991007518,-0.016942821,-1,-0.8644988221469992
2020-06-15,0.670339303710216,0.31513438,0,0.6960443422784537
2020-06-16,-0.18534378778111574,-0.023458619,-1,-0.8726648179320546
2020-06-17,-0.022425096713511353,-0.0139710605,0,-0.8522474417436542
2020-06-18,-0.26435230037109547,-0.014009576,0,-0.8475275319177469
2020-06-19,0.21341005803483784,-0.016753081,-1,-0.8476879699530334
2020-06-22,0.12499370044204407,0.14770374,0,-0.17967651314770444
2020-06-23,-1.0807522411856216,0.31513447,1,0.7161502162921966
2020-06-24,0.40984724775753095,0.31513438,0,0.7119508488700897
2020-06-25,-1.0087065255547165,0.31513306,0,0.7077747503683438
