Date,stock,oil,bond,dollar,gold
2018-11-09,2781.01,46.63,117.40625,96.9,1209.65
2018-11-12,2726.22,46.02,117.6875,97.643,1200.37
2018-11-13,2722.18,43.6,117.78125,96.962,1202.23
2018-11-14,2701.58,43.94,117.921875,96.987,1210.88
2018-11-15,2730.2,44.46,118.0625,97.104,1213.36
2018-11-16,2736.27,44.77,118.484375,96.427,1223.36
2018-11-19,2690.73,44.71,118.484375,96.165,1224.17
2018-11-20,2641.89,41.66,118.421875,96.821,1221.66
2018-11-21,2649.93,42.34,118.4375,96.714,1226.04
2018-11-22,,41.71,,96.491,1228.64
2018-11-23,2632.56,39.49,118.5625,96.944,1223.05
2018-11-26,2673.45,40.31,118.5,97.051,1222.4
2018-11-27,2682.17,40.62,118.4375,97.369,1215.05
2018-11-28,2743.79,39.11,118.53125,96.834,1221.23
2018-11-29,2737.76,39.54,118.6875,96.787,1224.21
2018-11-30,2760.17,39.15,119.0,97.197,1220.52
2018-12-03,2790.37,41.03,119.0625,96.948,1230.67
2018-12-04,2700.06,40.64,119.421875,96.96,1238.54
2018-12-05,,40.84,,96.994,1237.29
2018-12-06,2695.95,39.97,119.625,96.774,1237.78
2018-12-07,2633.08,40.7,120.046875,96.713,1249.31
2018-12-10,2637.72,39.64,119.953125,97.191,1244.46
2018-12-11,2636.78,40.07,119.75,97.46,1243.25
2018-12-12,2651.07,39.89,119.53125,96.993,1245.66
2018-12-13,2650.54,40.9,119.546875,97.093,1241.99
2018-12-14,2599.95,39.93,119.71875,97.424,1239.02
2018-12-17,2545.94,38.88,119.96875,97.128,1245.85
2018-12-18,2546.16,37.17,120.25,96.981,1249.42
2018-12-19,2506.96,37.48,120.609375,96.978,1243.08
2018-12-20,2467.42,36.26,120.28125,96.407,1259.86
2018-12-21,2416.62,35.46,120.359375,96.95,1256.94
2018-12-24,2351.1,33.47,120.84375,96.614,1269.22
2018-12-25,,,,96.581,1268.54
2018-12-26,2467.7,36.36,120.265625,97.013,1267.14
2018-12-27,2488.83,35.13,120.671875,96.572,1275.71
2018-12-28,2485.74,34.62,121.046875,96.391,1280.71
2018-12-31,2506.85,35.5,121.203125,96.023,1282.49
2019-01-01,,,,96.085,1282.6
2019-01-02,2510.03,35.85,121.8125,96.667,1284.59
2019-01-03,2447.89,36.42,122.46875,96.271,1294.28
2019-01-04,2531.94,37.65,121.5,96.199,1286.05
2019-01-07,2549.69,37.75,121.25,95.659,1289.21
2019-01-08,2574.41,38.41,120.953125,95.905,1285.39
2019-01-09,2584.96,40.22,121.109375,95.136,1293.56
2019-01-10,2596.64,40.11,120.921875,95.55,1286.65
2019-01-11,2596.26,39.73,121.234375,95.664,1290.25
2019-01-14,2582.61,38.89,121.25,95.581,1291.72
2019-01-15,2610.3,39.69,121.15625,95.958,1289.51
2019-01-16,2616.1,40.19,121.0625,96.072,1293.67
2019-01-17,2635.96,40.09,120.8125,96.072,1292.05
